rowlabel,split,sex,yrsarea,resyrago,work2,tenure1,livharm1,agegrp7,ethgrp2a,educat3,rural2,edeprivex,wdeprivex,IndivWgtx,cause2m,walkdark,walkday,homealon,wburgl,wmugged,wcarstol,wfromcar,wraped,wattack,wraceatt,worryx,bcsvictim,rubbcomm,vandcomm,poorhou,antisocx
136544200,D (Online Security),Female,20 years or longer,,No,Own it outright,Married/Civil Partnered,55-64,White,O level/GCSE,Urban,,5,1.49,G. Unemployment,Fairly safe,Very safe,Fairly safe,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
136296280,D (Online Security),Female,20 years or longer,,Yes,Rent it,Separate,35-44,White,O level/GCSE,Urban,3,,0.58,E. Drugs,A bit unsafe,Fairly safe,Fairly safe,,,,,,,,,Victim of crime,Not very common,Not very common,Not very common,
136313110,C (Crime prevention and security),Female,10 years but less than 20 years,,No,Rent it,Widowed,65-74,White,None,Urban,2,,0.6,,,,,Fairly worried,Fairly worried,,,Not at all worried,Very worried,Very worried,1.53,Not a victim of crime,Fairly common,Not very common,Not very common,
136245180,B (Attitudes to the CJS),Female,20 years or longer,,Yes,Own it outright,Married/Civil Partnered,45-54,White,O level/GCSE,Urban,5,,0.96,,,,,,,Fairly worried,Fairly worried,,,,,Victim of crime,Not at all common,Not at all common,Not at all common,
147616160,D (Online Security),Male,10 years but less than 20 years,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,45-54,White,Degree or diploma,Urban,5,,1.26,H. Breakdown of family,Very safe,Very safe,Very safe,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
135499090,A (Experiences of the police),Female,20 years or longer,,No,Own it outright,Single,55-64,White,Other,Urban,4,,0.58,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,-1
136954330,A (Experiences of the police),Male,20 years or longer,,Yes,Own it outright,Married/Civil Partnered,65-74,White,Apprenticeship or A/AS level,Urban,,1,1.09,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,-1
136424290,A (Experiences of the police),Male,20 years or longer,,Yes,Rent it,Single,45-54,Black or Black British,None,Urban,1,,0.65,,,,,,,,,,,,,Not a victim of crime,Fairly common,Not very common,Not very common,2.06
147605010,A (Experiences of the police),Male,20 years or longer,,Yes,Own it outright,Married/Civil Partnered,65-74,White,Degree or diploma,Urban,2,,0.77,,,,,,,,,,,,,Not a victim of crime,Not very common,Not at all common,Not at all common,-0.95
147599030,C (Crime prevention and security),Male,5 years but less than 10 years,No,Yes,Rent it,Divorced,35-44,White,Degree or diploma,Urban,5,,0.69,,,,,Fairly worried,Not very worried,,,Not at all worried,Not at all worried,Not at all worried,-0.57,Not a victim of crime,Not very common,Not very common,Not very common,
136843170,A (Experiences of the police),Male,2 years but less than 3 years,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,25-34,White,O level/GCSE,Urban,1,,1.76,,,,,,,,,,,,,Victim of crime,Not very common,Not very common,Fairly common,1.67
135394260,B (Attitudes to the CJS),Male,Less than 12 months,No,No,Rent it,Single,16-24,White,Apprenticeship or A/AS level,Urban,1,,1.37,,,,,,,,,,,,,Not a victim of crime,Very common,Very common,Very common,
147530250,A (Experiences of the police),Female,20 years or longer,,No,Own it outright,Married/Civil Partnered,65-74,White,Degree or diploma,Urban,3,,1.19,,,,,,,,,,,,,Not a victim of crime,Not very common,Not very common,Not very common,-1.22
136677230,C (Crime prevention and security),Female,20 years or longer,,Yes,Own it outright,Single,16-24,White,Degree or diploma,Rural,,3,0.87,,,,,Not very worried,Not very worried,,,Not very worried,Not very worried,Not at all worried,-0.25,Not a victim of crime,Not at all common,Not at all common,Not at all common,
136732320,D (Online Security),Female,20 years or longer,,No,Own it outright,Married/Civil Partnered,65-74,White,Degree or diploma,Rural,5,,1.01,B. Poverty,Very safe,Very safe,Fairly safe,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
135523070,C (Crime prevention and security),Female,5 years but less than 10 years,,Yes,Rent it,Divorced,65-74,White,None,Urban,1,,0.54,,,,,Fairly worried,Fairly worried,,,Not at all worried,Fairly worried,Not at all worried,0.36,Not a victim of crime,Fairly common,Not at all common,Not very common,
135564030,C (Crime prevention and security),Female,20 years or longer,,No,Own it outright,Widowed,65-74,White,None,Urban,3,,0.55,,,,,Fairly worried,Not at all worried,,,Not at all worried,Not very worried,Not at all worried,-0.57,Not a victim of crime,Not very common,Not at all common,Not at all common,
147622080,D (Online Security),Male,20 years or longer,,No,Own it outright,Widowed,75+,White,None,Rural,5,,0.39,F. Alcohol,Very safe,Very safe,Very safe,,,,,,,,,Not a victim of crime,Not very common,Not very common,Not very common,
136403140,B (Attitudes to the CJS),Male,2 years but less than 3 years,,No,Rent it,Married/Civil Partnered,45-54,White,None,Urban,,3,0.51,,,,,,,,,,,,,Victim of crime,Not at all common,Not at all common,Not at all common,
136617040,D (Online Security),Female,20 years or longer,,Yes,Buying it with the help of a mortgage or loan,Separate,35-44,White,O level/GCSE,Urban,1,,0.3,E. Drugs,A bit unsafe,Fairly safe,A bit unsafe,,,,,,,,,Not a victim of crime,Not very common,Not very common,Not very common,
136263050,A (Experiences of the police),Female,5 years but less than 10 years,,No,Rent it,Single,25-34,White,Apprenticeship or A/AS level,Urban,4,,0.36,,,,,,,,,,,,,Not a victim of crime,Fairly common,Not very common,Fairly common,0.7
136521060,B (Attitudes to the CJS),Female,20 years or longer,,No,Own it outright,Married/Civil Partnered,55-64,White,Degree or diploma,Urban,5,,0.72,,,,,,,Fairly worried,Fairly worried,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
136770120,D (Online Security),Male,Less than 12 months,No,No,Own it outright,Married/Civil Partnered,65-74,White,Degree or diploma,Rural,3,,0.54,E. Drugs,A bit unsafe,Very safe,Very safe,,,,,,,,,Not a victim of crime,Not very common,Not at all common,Not very common,
136481330,A (Experiences of the police),Female,2 years but less than 3 years,,No,Rent it,Cohabiting,45-54,White,None,Rural,1,,0.55,,,,,,,,,,,,,Not a victim of crime,Not very common,Not very common,Not very common,0.01
136984130,A (Experiences of the police),Male,3 years but less than 5 years,,Yes,Buying it with the help of a mortgage or loan,Single,25-34,White,Degree or diploma,Urban,3,,1.39,,,,,,,,,,,,,Not a victim of crime,Not very common,Not very common,Not very common,-0.43
136790050,A (Experiences of the police),Female,5 years but less than 10 years,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,25-34,Black or Black British,Degree or diploma,Urban,2,,0.7,,,,,,,,,,,,,Victim of crime,Not at all common,Not at all common,Not at all common,0.94
136480170,A (Experiences of the police),Male,20 years or longer,No,No,"Live here rent free (inc. rent free in relative/friend's property, excluding squatting)",Divorced,65-74,White,Degree or diploma,Rural,3,,0.27,,,,,,,,,,,,,Not a victim of crime,Not very common,Not very common,Not very common,-0.67
136627130,A (Experiences of the police),Male,2 years but less than 3 years,,Yes,Buying it with the help of a mortgage or loan,Single,16-24,White,Apprenticeship or A/AS level,Urban,5,,0.67,,,,,,,,,,,,,Victim of crime,Not at all common,Not at all common,Not at all common,0.49
136671260,B (Attitudes to the CJS),Male,12 months but less than 2 years,Yes,No,Rent it,Cohabiting,25-34,White,Apprenticeship or A/AS level,Urban,2,,0.78,,,,,,,,,,,,,Not a victim of crime,Fairly common,Not very common,Fairly common,
147488300,B (Attitudes to the CJS),Female,5 years but less than 10 years,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,65-74,White,Degree or diploma,Urban,5,,1.05,,,,,,,Fairly worried,Fairly worried,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
136545220,B (Attitudes to the CJS),Female,20 years or longer,,No,Own it outright,Widowed,65-74,White,None,Urban,,5,0.49,,,,,,,Not very worried,Not very worried,,,,,Not a victim of crime,Not very common,Not at all common,Not at all common,
136629140,B (Attitudes to the CJS),Female,20 years or longer,,No,Rent it,Widowed,75+,White,None,Urban,1,,0.72,,,,,,,,,,,,,Not a victim of crime,Not very common,Not very common,Not very common,
136107280,D (Online Security),Female,10 years but less than 20 years,,Yes,Own it outright,Married/Civil Partnered,45-54,Asian or Asian British,Degree or diploma,Urban,5,,0.66,H. Breakdown of family,A bit unsafe,Very safe,Fairly safe,,,,,,,,,Victim of crime,Not at all common,Not at all common,Not at all common,
136060280,D (Online Security),Male,10 years but less than 20 years,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,55-64,White,Degree or diploma,Rural,4,,1.11,D. Lack of discipline from parents,Fairly safe,Very safe,Very safe,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
137001270,C (Crime prevention and security),Female,Less than 12 months,No,No,Own it outright,Married/Civil Partnered,35-44,Asian or Asian British,O level/GCSE,Urban,3,,0.64,,,,,Fairly worried,Not very worried,,,Not at all worried,Not at all worried,Not at all worried,-0.57,Not a victim of crime,Not very common,Not at all common,Not at all common,
136794090,A (Experiences of the police),Male,10 years but less than 20 years,,Yes,Own it outright,Married/Civil Partnered,55-64,White,Degree or diploma,Rural,4,,0.73,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,-1
136888090,A (Experiences of the police),Male,20 years or longer,No,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,35-44,White,O level/GCSE,Urban,3,,0.77,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not very common,-0.21
136491110,C (Crime prevention and security),Female,5 years but less than 10 years,,No,Rent it,Cohabiting,65-74,White,None,Rural,2,,0.72,,,,,Very worried,Not at all worried,,,Not at all worried,Not at all worried,Not at all worried,-0.62,Victim of crime,Not at all common,Not at all common,Not at all common,
136706230,C (Crime prevention and security),Female,5 years but less than 10 years,,Yes,Buying it with the help of a mortgage or loan,Divorced,55-64,White,None,Urban,1,,0.56,,,,,Not very worried,Not very worried,,,Not very worried,Not very worried,Not at all worried,-0.25,Not a victim of crime,Not at all common,Not at all common,Not at all common,
136516250,A (Experiences of the police),Male,10 years but less than 20 years,,Yes,"Live here rent free (inc. rent free in relative/friend's property, excluding squatting)",Single,16-24,White,Other,Urban,4,,2,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,-0.2
136848230,C (Crime prevention and security),Male,Less than 12 months,No,Yes,Buying it with the help of a mortgage or loan,Separate,35-44,White,O level/GCSE,Urban,1,,1.88,,,,,Not very worried,Not at all worried,,,Not at all worried,Not very worried,Not at all worried,-0.82,Not a victim of crime,Not very common,Not very common,Not very common,
136630290,A (Experiences of the police),Female,5 years but less than 10 years,,Yes,Own it outright,Single,25-34,White,Degree or diploma,Rural,3,,1.17,,,,,,,,,,,,,Not a victim of crime,Not very common,Not very common,Not very common,0.25
136788070,C (Crime prevention and security),Male,12 months but less than 2 years,Yes,Yes,Buying it with the help of a mortgage or loan,Cohabiting,35-44,White,Degree or diploma,Rural,4,,0.87,,,,,Fairly worried,Not very worried,,,Not very worried,Not very worried,Not very worried,0.3,Not a victim of crime,Not at all common,Not at all common,Not at all common,
136334030,C (Crime prevention and security),Female,5 years but less than 10 years,,Yes,Rent it,Divorced,35-44,White,Degree or diploma,Urban,2,,0.57,,,,,Not very worried,Not very worried,,,Not very worried,Not very worried,Not at all worried,-0.25,Not a victim of crime,Not at all common,Not at all common,Not very common,
147539050,A (Experiences of the police),Female,20 years or longer,No,Yes,Rent it,Divorced,45-54,White,Degree or diploma,Urban,1,,1.12,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,0.43
136271250,A (Experiences of the police),Female,20 years or longer,,No,Own it outright,Married/Civil Partnered,65-74,White,Other,Urban,,5,1.1,,,,,,,,,,,,,Victim of crime,Not at all common,Not at all common,Not at all common,1.02
136429180,B (Attitudes to the CJS),Female,3 years but less than 5 years,,No,Rent it,Single,25-34,White,O level/GCSE,Urban,2,,0.59,,,,,,,Not very worried,Not very worried,,,,,Not a victim of crime,Not very common,Not very common,Not very common,
136667050,A (Experiences of the police),Female,20 years or longer,,No,Own it outright,Married/Civil Partnered,65-74,White,None,Urban,5,,1.04,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not very common,
147569120,D (Online Security),Male,10 years but less than 20 years,,Yes,Own it outright,Married/Civil Partnered,45-54,White,Degree or diploma,Urban,4,,2.1,E. Drugs,Fairly safe,Fairly safe,Fairly safe,,,,,,,,,Victim of crime,Not at all common,Not at all common,Not at all common,
136665080,D (Online Security),Male,10 years but less than 20 years,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,35-44,White,Degree or diploma,Rural,3,,0.84,D. Lack of discipline from parents,Very safe,Very safe,Very safe,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
137211160,D (Online Security),Female,12 months but less than 2 years,Yes,No,Own it outright,Cohabiting,25-34,White,O level/GCSE,Rural,4,,0.88,K. Peer pressure,Fairly safe,Very safe,Very safe,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
136485040,D (Online Security),Female,3 years but less than 5 years,,No,Buying it with the help of a mortgage or loan,Cohabiting,35-44,White,O level/GCSE,Urban,3,,1.21,Spontaneous: None of these,Very safe,Very safe,Very safe,,,,,,,,,Victim of crime,Not very common,Not at all common,Not very common,
136513290,A (Experiences of the police),Female,20 years or longer,,No,Own it outright,Married/Civil Partnered,65-74,White,Apprenticeship or A/AS level,Urban,5,,0.65,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,-1.22
136448130,A (Experiences of the police),Male,20 years or longer,,Yes,Own it outright,Married/Civil Partnered,55-64,White,O level/GCSE,Urban,2,,1.16,,,,,,,,,,,,,Not a victim of crime,Not very common,Not very common,Not very common,2.08
137198030,C (Crime prevention and security),Female,10 years but less than 20 years,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,35-44,White,Apprenticeship or A/AS level,Urban,4,,0.93,,,,,Not very worried,Fairly worried,,,Not at all worried,Fairly worried,Fairly worried,0.68,Not a victim of crime,Not very common,Not at all common,Not at all common,
135431030,C (Crime prevention and security),Male,5 years but less than 10 years,,Yes,Own it outright,Married/Civil Partnered,55-64,White,Degree or diploma,Rural,5,,1.4,,,,,Not very worried,Not at all worried,,,Not at all worried,Not at all worried,Not at all worried,-1.13,Victim of crime,Not at all common,Not at all common,Not at all common,
136624210,A (Experiences of the police),Female,10 years but less than 20 years,,Yes,Buying it with the help of a mortgage or loan,Divorced,35-44,White,O level/GCSE,Rural,5,,0.61,,,,,,,,,,,,,Not a victim of crime,Not very common,Not at all common,Not very common,0.45
136214160,D (Online Security),Female,10 years but less than 20 years,,No,Own it outright,Married/Civil Partnered,65-74,White,None,Rural,3,,1.2,D. Lack of discipline from parents,Very safe,Very safe,Very safe,,,,,,,,,Not a victim of crime,Not very common,Not at all common,Not at all common,
136405260,B (Attitudes to the CJS),Male,20 years or longer,,No,Own it outright,Married/Civil Partnered,65-74,White,None,Urban,,3,0.52,,,,,,,Not at all worried,Fairly worried,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
136212240,D (Online Security),Female,10 years but less than 20 years,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,45-54,White,Degree or diploma,Rural,5,,1.56,Spontaneous: None of these,Fairly safe,Very safe,Fairly safe,,,,,,,,,Victim of crime,Not at all common,Not at all common,Not at all common,
136247150,C (Crime prevention and security),Male,20 years or longer,,Yes,Own it outright,Married/Civil Partnered,55-64,White,None,Rural,4,,0.68,,,,,Very worried,Very worried,,,Not at all worried,Not very worried,Not at all worried,0.62,Not a victim of crime,Not at all common,Not at all common,Not at all common,
136311060,B (Attitudes to the CJS),Female,20 years or longer,,No,Rent it,Married/Civil Partnered,65-74,White,None,Urban,2,,1.09,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
136473110,C (Crime prevention and security),Female,Less than 12 months,No,Yes,Rent it,Cohabiting,25-34,White,None,Rural,3,,0.59,,,,,Not very worried,Not very worried,,,Not very worried,Not very worried,Not at all worried,-0.25,Victim of crime,Not at all common,Not at all common,Not at all common,
136355320,D (Online Security),Female,5 years but less than 10 years,No,Yes,Rent it,Cohabiting,16-24,Mixed,Apprenticeship or A/AS level,Urban,3,,1.48,D. Lack of discipline from parents,Fairly safe,Fairly safe,Fairly safe,,,,,,,,,Not a victim of crime,Not very common,Not very common,Not very common,
136701290,A (Experiences of the police),Female,Less than 12 months,No,Yes,Rent it,Divorced,55-64,White,Degree or diploma,Urban,1,,1.04,,,,,,,,,,,,,Victim of crime,Not very common,Not at all common,Not at all common,-1.22
147322110,C (Crime prevention and security),Male,20 years or longer,,No,Rent it,Single,65-74,White,None,Rural,3,,0.44,,,,,Fairly worried,Fairly worried,,,Not very worried,Fairly worried,Not very worried,0.92,Not a victim of crime,Not at all common,Not at all common,Not at all common,
136853110,C (Crime prevention and security),Female,20 years or longer,,No,Own it outright,Divorced,65-74,White,None,Urban,2,,0.56,,,,,Fairly worried,Not very worried,,,Not very worried,Not at all worried,Not at all worried,-0.3,Not a victim of crime,Not very common,Not very common,Not very common,
136036220,B (Attitudes to the CJS),Male,20 years or longer,,No,Own it outright,Married/Civil Partnered,65-74,Asian or Asian British,O level/GCSE,Urban,3,,2.17,,,,,,,Not very worried,Not very worried,,,,,Not a victim of crime,Not very common,Not at all common,Not at all common,
136183020,B (Attitudes to the CJS),Male,20 years or longer,,Yes,Own it outright,Married/Civil Partnered,55-64,White,Other,Rural,5,,0.49,,,,,,,Not very worried,Not very worried,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
147528190,C (Crime prevention and security),Male,12 months but less than 2 years,Yes,Yes,Rent it,Single,25-34,White,None,Urban,2,,0.74,,,,,Very worried,Not at all worried,,,Not at all worried,Very worried,Not at all worried,0.31,Not a victim of crime,Not at all common,Not at all common,Not at all common,
147520300,B (Attitudes to the CJS),Male,2 years but less than 3 years,,Yes,Rent it,Married/Civil Partnered,35-44,Black or Black British,Degree or diploma,Urban,1,,0.69,,,,,,,Fairly worried,Fairly worried,,,,,Not a victim of crime,Not very common,Not very common,Not very common,
147327180,B (Attitudes to the CJS),Female,10 years but less than 20 years,,No,Own it outright,Married/Civil Partnered,75+,White,O level/GCSE,Urban,4,,1.34,,,,,,,Not very worried,Not very worried,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
147346120,D (Online Security),Female,20 years or longer,,No,Rent it,Married/Civil Partnered,35-44,White,O level/GCSE,Urban,1,,2.25,G. Unemployment,Fairly safe,Very safe,Very safe,,,,,,,,,Not a victim of crime,Fairly common,Not very common,Not very common,
136948240,D (Online Security),Male,20 years or longer,,Yes,Own it outright,Single,55-64,White,Degree or diploma,Urban,,5,0.31,E. Drugs,Fairly safe,Very safe,Very safe,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
136159260,B (Attitudes to the CJS),Female,20 years or longer,,No,Rent it,Married/Civil Partnered,65-74,White,None,Urban,2,,1.09,,,,,,,Not very worried,Not very worried,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
136525320,D (Online Security),Male,20 years or longer,,No,"Live here rent free (inc. rent free in relative/friend's property, excluding squatting)",Cohabiting,25-34,White,None,Urban,4,,2.03,E. Drugs,A bit unsafe,Very safe,Very safe,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
136260090,A (Experiences of the police),Female,Less than 12 months,No,No,Buying it with the help of a mortgage or loan,Divorced,65-74,White,None,Urban,5,,0.27,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,-0.95
147599290,A (Experiences of the police),Male,5 years but less than 10 years,,Yes,Rent it,Married/Civil Partnered,45-54,Black or Black British,Degree or diploma,Urban,2,,1.32,,,,,,,,,,,,,Not a victim of crime,Fairly common,Fairly common,Fairly common,-0.05
137097010,A (Experiences of the police),Female,10 years but less than 20 years,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,55-64,White,Degree or diploma,Urban,5,,1.22,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not very common,0.77
137027110,C (Crime prevention and security),Male,2 years but less than 3 years,,No,Own it outright,Single,55-64,White,O level/GCSE,Urban,2,,0.29,,,,,Not very worried,Not very worried,,,Not at all worried,Not very worried,Not at all worried,-0.51,Not a victim of crime,Not at all common,Not at all common,Not at all common,
136240290,A (Experiences of the police),Male,20 years or longer,,Yes,Own it outright,Single,45-54,White,O level/GCSE,Urban,3,,0.38,,,,,,,,,,,,,Not a victim of crime,Not very common,Not at all common,Not very common,-0.22
136401100,B (Attitudes to the CJS),Male,10 years but less than 20 years,,Yes,Own it outright,Married/Civil Partnered,65-74,White,Degree or diploma,Rural,,4,0.56,,,,,,,Not at all worried,Not at all worried,,,,,Not a victim of crime,Not very common,Not very common,Not at all common,
136475060,B (Attitudes to the CJS),Male,12 months but less than 2 years,Yes,Yes,Rent it,Single,25-34,White,Degree or diploma,Urban,3,,0.57,,,,,,,Fairly worried,Not very worried,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
136116040,D (Online Security),Female,10 years but less than 20 years,,No,Rent it,Single,65-74,White,O level/GCSE,Urban,3,,0.47,Spontaneous: None of these,A bit unsafe,Fairly safe,Fairly safe,,,,,,,,,Not a victim of crime,Fairly common,Fairly common,Fairly common,
136926210,A (Experiences of the police),Female,5 years but less than 10 years,,No,Buying it with the help of a mortgage or loan,Married/Civil Partnered,25-34,Asian or Asian British,None,Rural,2,,1.11,,,,,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,2.05
136586100,B (Attitudes to the CJS),Female,3 years but less than 5 years,,Yes,Rent it,Divorced,35-44,White,Apprenticeship or A/AS level,Urban,3,,0.6,,,,,,,Not very worried,Not very worried,,,,,Not a victim of crime,Not very common,Not very common,Not very common,
136243310,C (Crime prevention and security),Female,20 years or longer,,No,Own it outright,Married/Civil Partnered,65-74,White,None,Rural,2,,0.8,,,,,Fairly worried,Not very worried,,,Not very worried,Not very worried,Not at all worried,0.01,Not a victim of crime,Not at all common,Not at all common,Not at all common,
147559060,B (Attitudes to the CJS),Male,20 years or longer,,No,Rent it,Divorced,65-74,White,Apprenticeship or A/AS level,Urban,4,,0.5,,,,,,,Not at all worried,Not at all worried,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
147526020,B (Attitudes to the CJS),Female,Less than 12 months,No,Yes,Buying it with the help of a mortgage or loan,Cohabiting,16-24,White,Apprenticeship or A/AS level,Urban,2,,1.5,,,,,,,Not at all worried,Not at all worried,,,,,Not a victim of crime,Not very common,Not very common,Not very common,
136902140,B (Attitudes to the CJS),Female,10 years but less than 20 years,,No,Own it outright,Widowed,55-64,White,Degree or diploma,Urban,5,,0.62,,,,,,,Not very worried,Not very worried,,,,,Not a victim of crime,Not at all common,Not at all common,Not very common,
147364030,C (Crime prevention and security),Female,5 years but less than 10 years,,No,Rent it,Married/Civil Partnered,45-54,White,Degree or diploma,Urban,,1,2.13,,,,,Very worried,Not at all worried,,,Very worried,Very worried,Very worried,1.98,Victim of crime,Not at all common,Not at all common,Not at all common,
147317070,C (Crime prevention and security),Male,20 years or longer,,Yes,Own it outright,Single,35-44,White,Degree or diploma,Rural,4,,0.64,,,,,Not very worried,Not at all worried,,,Not at all worried,Not very worried,Not at all worried,-0.82,Not a victim of crime,Not very common,Not very common,Not very common,
136164200,D (Online Security),Female,20 years or longer,,No,Own it outright,Divorced,65-74,White,O level/GCSE,Urban,4,,0.55,D. Lack of discipline from parents,Fairly safe,Fairly safe,Fairly safe,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
135610310,C (Crime prevention and security),Female,12 months but less than 2 years,Yes,No,Rent it,Single,16-24,White,Degree or diploma,Rural,,4,0.4,,,,,Not at all worried,Not at all worried,,,Not at all worried,Not at all worried,Not at all worried,-1.39,Not a victim of crime,Fairly common,Not at all common,Not very common,
135316500,B (Attitudes to the CJS),Male,5 years but less than 10 years,,Yes,Rent it,Single,35-44,White,Apprenticeship or A/AS level,Urban,3,,0.38,,,,,,,Not at all worried,Fairly worried,,,,,Victim of crime,Fairly common,Not very common,Not very common,
136121130,A (Experiences of the police),Male,3 years but less than 5 years,,Yes,Rent it,Single,16-24,White,Degree or diploma,Urban,5,,2.99,,,,,,,,,,,,,Victim of crime,Not at all common,Not at all common,Not at all common,1
136888120,D (Online Security),Male,Less than 12 months,No,No,Rent it,Widowed,45-54,White,None,Urban,2,,0.43,G. Unemployment,Very safe,Very safe,Very safe,,,,,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
137074010,A (Experiences of the police),Female,20 years or longer,,No,Own it outright,Widowed,75+,White,None,Rural,3,,0.48,,,,,,,,,,,,,Not a victim of crime,Not very common,Not very common,Not very common,0.66
136700100,B (Attitudes to the CJS),Female,20 years or longer,,No,Rent it,Single,75+,White,None,Urban,1,,0.88,,,,,,,,,,,,,Not a victim of crime,Not very common,Not very common,Not very common,
137033230,C (Crime prevention and security),Male,20 years or longer,,Yes,Buying it with the help of a mortgage or loan,Married/Civil Partnered,45-54,White,O level/GCSE,Urban,5,,1.47,,,,,Not very worried,Not very worried,,,Not at all worried,Not very worried,Not at all worried,-0.51,Not a victim of crime,Not at all common,Not at all common,Not at all common,
137038250,A (Experiences of the police),Male,20 years or longer,,No,Own it outright,Widowed,75+,White,Degree or diploma,Urban,2,,0.62,,,,,,,,,,,,,Victim of crime,Not at all common,Not at all common,Not at all common,0.3
147399010,A (Experiences of the police),Female,2 years but less than 3 years,,Yes,Rent it,Single,25-34,White,O level/GCSE,Urban,2,,0.71,,,,,,,,,,,,,Not a victim of crime,Fairly common,Not very common,Fairly common,1.25
147391150,C (Crime prevention and security),Female,20 years or longer,,No,Own it outright,Married/Civil Partnered,65-74,White,Other,Urban,4,,1.19,,,,,Not very worried,Not very worried,,,Fairly worried,Fairly worried,Not applicable,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
136862230,C (Crime prevention and security),Male,12 months but less than 2 years,Yes,No,Own it outright,Married/Civil Partnered,65-74,White,None,Rural,4,,1.19,,,,,Not very worried,Not very worried,,,Not at all worried,Not at all worried,Not at all worried,-0.82,Not a victim of crime,Not at all common,Not at all common,Not at all common,
137193280,D (Online Security),Female,5 years but less than 10 years,,No,Own it outright,Divorced,65-74,White,None,Rural,4,,0.39,I. Too few police,Fairly safe,Very safe,Very safe,,,,,,,,,Not a victim of crime,Not very common,Not very common,Not very common,
147397080,D (Online Security),Male,10 years but less than 20 years,,Yes,Buying it with the help of a mortgage or loan,Single,45-54,White,Degree or diploma,Urban,5,,0.73,D. Lack of discipline from parents,Very safe,Very safe,Very safe,,,,,,,,,Not a victim of crime,Not very common,Not very common,Not very common,
147397230,C (Crime prevention and security),Female,3 years but less than 5 years,,No,Rent it,Widowed,75+,White,None,Urban,2,,0.85,,,,,Not very worried,Not very worried,,,Not very worried,Not very worried,Not very worried,0.04,Not a victim of crime,Not very common,Not very common,Not very common,
136634100,B (Attitudes to the CJS),Male,10 years but less than 20 years,,Yes,Own it outright,Married/Civil Partnered,45-54,Asian or Asian British,Degree or diploma,Urban,4,,1.75,,,,,,,Not very worried,Not very worried,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
136693230,C (Crime prevention and security),Male,3 years but less than 5 years,,Yes,Rent it,Married/Civil Partnered,45-54,Chinese or Other,None,Urban,1,,1.3,,,,,Not very worried,Fairly worried,,,Very worried,Very worried,Not at all worried,1.22,Not a victim of crime,Not very common,Not at all common,Not at all common,
137221180,B (Attitudes to the CJS),Female,20 years or longer,,Yes,Own it outright,Separate,55-64,White,Degree or diploma,Rural,,5,0.29,,,,,,,Not very worried,Not very worried,,,,,Not a victim of crime,Not at all common,Not at all common,Not at all common,
